date,maxTemp,minTemp,precip,snow
1893-12-14,33,30,47,4
1893-12-15,33,12,21,3
1893-12-16,17,-2,0,0
1893-12-17,27,12,0,0
1893-12-18,35,3,0,0
1893-12-19,14,-3,0,0
1893-12-20,30,14,0,0
1893-12-21,41,25,0,0
1893-12-22,44,23,0,0
1893-12-23,50,34,8,2
1893-12-24,53,33,53,4
1893-12-25,33,22,3,1
1893-12-26,28,21,0,0
1893-12-27,37,29,6,2
1893-12-28,36,12,0,0
1893-12-29,18,11,0,0
1893-12-30,27,23,0,0
1893-12-31,36,30,0,0
1894-01-01,45,30,0,0
1894-01-02,40,22,0,0
1894-01-03,37,6,0,0
1894-01-04,24,12,0,0
1894-01-05,22,16,22,3
1894-01-06,7,-12,0,0
1894-01-07,12,-16,0,0
1894-01-08,18,5,0,0
1894-01-09,17,-1,0,0
1894-01-10,24,9,0,0
1894-01-11,17,6,0,0
1894-01-12,36,14,0,0
1894-01-13,47,24,0,0
1894-01-14,36,29,0,0
1894-01-15,42,35,0,0
1894-01-16,50,37,0,0
1894-01-17,53,22,0,0
1894-01-18,36,16,0,0
1894-01-19,36,18,42,1
1894-01-20,41,20,14,0
1894-01-21,28,-3,0,0
1894-01-22,6,-4,0,0
1894-01-23,-2,-15,14,2
1894-01-24,27,-24,0,0
1894-01-25,6,-1,0,0
1894-01-26,8,-10,0,0
1894-01-27,12,-7,0,0
1894-01-28,23,0,22,3
1894-01-29,23,1,0,0
1894-01-30,24,-2,0,0
1894-01-31,18,3,0,0
1894-02-01,18,-6,0,0
1894-02-02,23,5,0,0
1894-02-03,22,0,0,0
1894-02-04,20,-14,0,0
1894-02-05,37,4,0,0
1894-02-06,40,19,0,0
1894-02-07,43,14,0,0
1894-02-08,44,16,0,0
1894-02-09,36,30,21,0
1894-02-10,17,5,0,0
1894-02-11,14,-4,0,0
1894-02-12,19,10,13,0
1894-02-13,24,4,0,0
1894-02-14,37,-2,0,0
1894-02-15,19,4,0,0
1894-02-16,32,-1,0,0
1894-02-17,38,18,0,0
1894-02-18,40,6,0,0
1894-02-19,8,-3,0,0
1894-02-20,4,-5,0,0
1894-02-21,18,-8,0,0
1894-02-22,13,3,0,0
1894-02-23,13,0,0,0
1894-02-24,21,-9,0,0
1894-02-25,35,6,0,0
1894-02-26,42,9,0,0
1894-02-27,48,29,0,0
1894-02-28,42,32,0,0
1894-03-01,50,32,0,0
1894-03-02,52,24,0,0
1894-03-03,64,38,0,0
1894-03-04,59,38,112,0
1894-03-05,50,32,34,1
1894-03-06,38,21,0,0
1894-03-07,36,29,0,0
1894-03-08,43,19,15,1
1894-03-09,52,32,0,0
1894-03-10,66,38,0,0
1894-03-11,49,30,0,0
1894-03-12,55,29,0,0
1894-03-13,49,36,0,0
1894-03-14,46,24,0,0
1894-03-15,46,34,8,1
1894-03-16,63,23,0,0
1894-03-17,77,39,0,0
1894-03-18,57,44,42,0
1894-03-19,43,37,0,0
1894-03-20,43,36,26,1
1894-03-21,66,44,0,0
1894-03-22,51,39,0,0
1894-03-23,43,25,0,0
1894-03-24,23,10,0,0
1894-03-25,23,3,0,0
1894-03-26,21,7,0,0
1894-03-27,37,8,0,0
1894-03-28,33,7,46,2
1894-03-29,35,7,0,0
1894-03-30,52,27,0,0
1894-03-31,45,37,0,0
1894-04-01,45,26,0,0
1894-04-02,52,22,0,0
1894-04-03,54,40,15,0
1894-04-04,50,36,0,0
1894-04-05,52,32,0,0
1894-04-06,65,31,0,0
1894-04-07,54,34,7,0
1894-04-08,49,32,0,0
1894-04-09,38,34,90,0
1894-04-10,37,30,0,0
1894-04-11,45,33,0,0
1894-04-12,59,36,0,0
1894-04-13,58,40,3,0
1894-04-14,64,42,0,0
1894-04-15,67,45,0,0
1894-04-16,73,40,0,0
1894-04-17,72,50,122,0
1894-04-18,76,58,0,0
1894-04-19,65,43,7,0
1894-04-20,50,34,0,0
1894-04-21,54,36,0,0
1894-04-22,58,34,0,0
1894-04-23,69,33,0,0
1894-04-24,72,35,0,0
1894-04-25,73,40,0,0
1894-04-26,75,40,0,0
1894-04-27,77,50,35,0
1894-04-28,75,53,0,0
1894-04-29,79,55,28,0
1894-04-30,75,62,57,0
1894-06-01,80,47,0,0
1894-06-02,84,50,0,0
1894-06-03,83,62,0,0
1894-06-04,78,45,0,0
1894-06-05,62,42,0,0
1894-06-06,71,36,0,0
1894-06-07,84,41,0,0
1894-06-08,88,47,0,0
1894-06-09,85,58,0,0
1894-06-10,85,57,0,0
1894-06-11,93,63,0,0
1894-06-12,92,58,0,0
1894-06-13,93,65,0,0
1894-06-14,93,61,0,0
1894-06-15,87,63,57,0
1894-06-16,83,65,39,0
1894-06-17,74,59,0,0
1894-06-18,78,64,0,0
1894-06-19,81,52,0,0
1894-06-20,93,66,0,0
1894-06-21,100,61,0,0
1894-06-22,87,63,0,0
1894-06-23,86,67,22,0
1894-06-24,84,63,15,0
1894-06-25,82,58,16,0
1894-06-26,83,54,115,0
1894-06-27,87,59,0,0
1894-06-28,85,65,0,0
1894-06-29,91,57,0,0
1894-06-30,92,65,0,0
1894-07-01,86,67,0,0
1894-07-02,84,55,0,0
1894-07-03,82,54,0,0
1894-07-04,78,54,0,0
1894-07-05,87,45,0,0
1894-07-06,97,55,0,0
1894-07-07,81,44,0,0
1894-07-08,84,49,0,0
1894-07-09,88,57,0,0
1894-07-10,87,55,0,0
1894-07-11,96,66,0,0
1894-07-12,95,70,0,0
1894-07-13,86,57,0,0
1894-07-14,89,50,0,0
1894-07-15,95,50,0,0
1894-07-16,93,54,0,0
1894-07-17,97,55,0,0
1894-07-18,97,60,0,0
1894-07-19,96,60,31,0
1894-07-20,85,65,0,0
1894-07-21,85,51,0,0
1894-07-22,89,47,0,0
1894-07-23,97,60,0,0
1894-07-24,91,65,0,0
1894-07-25,90,54,0,0
1894-07-26,104,71,0,0
1894-07-27,100,70,11,0
1894-07-28,92,66,0,0
1894-07-29,92,60,0,0
1894-07-30,95,52,0,0
1894-07-31,81,66,0,0
1894-08-01,91,72,0,0
1894-08-02,75,53,0,0
1894-08-03,77,40,0,0
1894-08-04,83,45,0,0
1894-08-05,92,45,0,0
1894-08-06,93,66,0,0
1894-08-07,102,66,0,0
1894-08-08,102,68,0,0
1894-08-09,92,68,49,0
1894-08-10,89,63,4,0
1894-08-11,87,67,0,0
1894-08-12,86,60,0,0
1894-08-13,88,58,0,0
1894-08-14,83,68,0,0
1894-08-15,78,56,0,0
1894-08-16,87,54,0,0
1894-08-17,89,65,0,0
1894-08-18,86,58,0,0
1894-08-19,85,53,0,0
1894-08-20,91,58,0,0
1894-08-21,86,59,0,0
1894-08-22,88,53,0,0
1894-08-23,94,68,0,0
1894-08-24,92,66,0,0
1894-08-25,85,64,0,0
1894-08-26,87,48,0,0
1894-08-27,90,53,0,0
1894-08-28,93,56,0,0
1894-08-29,82,61,0,0
1894-08-30,79,48,0,0
1894-08-31,85,47,0,0
1894-09-01,95,62,0,0
1894-09-02,92,61,0,0
1894-09-03,85,68,0,0
1894-09-04,88,63,0,0
1894-09-05,92,53,0,0
1894-09-06,77,64,164,0
1894-09-07,83,66,10,0
1894-09-08,77,59,12,0
1894-09-09,67,49,0,0
1894-09-10,64,46,0,0
1894-09-11,69,36,0,0
1894-09-12,72,43,0,0
1894-09-13,68,52,0,0
1894-09-14,84,60,34,0
1894-09-15,74,50,0,0
1894-09-16,77,56,0,0
1894-09-17,80,50,0,0
1894-09-18,73,31,0,0
1894-09-19,80,45,0,0
1894-09-20,68,50,0,0
1894-09-21,66,50,0,0
1894-09-22,71,52,120,0
1894-09-23,58,36,18,0
1894-09-24,55,37,0,0
1894-09-25,68,31,0,0
1894-09-26,76,51,0,0
1894-09-27,80,45,0,0
1894-09-28,85,62,0,0
1894-09-29,84,44,45,0
1894-09-30,55,39,0,0
1894-10-01,60,31,80,0
1894-10-02,70,42,0,0
1894-10-03,60,40,0,0
1894-10-04,49,39,0,0
1894-10-05,48,40,0,0
1894-10-06,61,31,0,0
1894-10-07,58,36,0,0
1894-10-08,50,35,0,0
1894-10-09,61,28,0,0
1894-10-10,57,37,0,0
1894-10-11,68,25,0,0
1894-10-12,62,46,0,0
1894-10-13,57,33,0,0
1894-10-14,54,28,0,0
1894-10-15,65,38,0,0
1894-10-16,70,36,0,0
1894-10-17,61,35,0,0
1894-10-18,78,29,0,0
1894-10-19,71,51,50,0
1894-10-20,78,55,0,0
1894-10-21,73,56,71,0
1894-10-22,66,40,0,0
1894-10-23,68,45,0,0
1894-10-24,64,33,0,0
1894-10-25,63,47,30,0
1894-10-26,56,40,13,0
1894-10-27,64,35,0,0
1894-10-28,57,48,19,0
1894-10-29,55,40,20,0
1894-10-30,45,38,0,0
1894-10-31,43,37,0,0
1894-11-01,49,30,0,0
1894-11-02,44,32,46,0
1894-11-03,50,39,0,0
1894-11-04,49,34,0,0
1894-11-05,43,25,0,0
1894-11-06,39,23,0,0
1894-11-07,37,30,5,0
1894-11-08,38,31,0,0
1894-11-09,34,27,20,1
1894-11-10,32,17,0,0
1894-11-11,25,6,0,0
1894-11-12,33,21,27,1
1894-11-13,36,32,0,0
1894-11-14,45,23,0,0
1894-11-15,38,20,0,0
1894-11-16,43,17,0,0
1894-11-17,31,10,0,0
1894-11-18,33,20,0,0
1894-11-19,17,1,0,0
1894-11-20,52,16,0,0
1894-11-21,39,10,0,0
1894-11-22,37,24,0,0
1894-11-23,47,19,0,0
1894-11-24,40,22,0,0
1894-11-25,42,15,0,0
1894-11-26,57,32,0,0
1894-11-27,49,19,0,0
1894-11-28,21,3,0,0
1894-11-29,27,15,0,0
1894-11-30,35,26,0,0
1894-12-01,37,29,0,0
1894-12-02,22,10,0,0
1894-12-03,36,3,0,0
1894-12-04,46,15,0,0
1894-12-05,45,22,0,0
1894-12-06,47,23,0,0
1894-12-07,52,46,0,0
1894-12-08,56,31,0,0
1894-12-09,36,29,0,0
1894-12-10,38,34,0,0
1894-12-11,36,33,25,1
1894-12-12,37,31,0,0
1894-12-13,37,24,0,0
1894-12-14,48,23,0,0
1894-12-15,45,36,150,1
1894-12-16,40,32,0,0
1894-12-17,34,24,0,0
1894-12-18,46,18,0,0
1894-12-19,48,24,0,0
1894-12-20,50,32,0,0
1894-12-21,50,36,0,0
1894-12-22,30,26,0,0
1894-12-23,32,28,0,0
1894-12-24,34,24,0,0
1894-12-25,24,13,0,0
1894-12-26,20,6,0,0
1894-12-27,1,-6,0,0
1894-12-28,12,-10,0,0
1894-12-29,19,12,0,0
1894-12-30,18,9,0,0
1894-12-31,22,5,0,0
1895-01-01,20,2,0,0
1895-01-02,28,5,0,0
1895-01-03,21,5,10,1
1895-01-04,5,-9,0,0
1895-01-05,31,5,0,0
1895-01-06,29,18,0,0
1895-01-07,11,-12,0,0
1895-01-08,20,-1,0,0
1895-01-09,31,11,0,0
1895-01-10,33,15,0,0
1895-01-11,22,-12,0,0
1895-01-12,8,-12,0,0
1895-01-13,15,-12,0,0
1895-01-14,18,-7,20,2
1895-01-15,22,2,0,0
1895-01-16,22,-2,0,0
1895-01-17,23,-7,0,0
1895-01-18,29,9,15,2
1895-01-19,31,8,0,0
1895-01-20,37,22,40,1
1895-01-21,10,-3,0,0
1895-01-22,1,-10,0,0
1895-01-23,7,-13,0,0
1895-01-24,14,4,40,5
1895-01-25,12,1,0,0
1895-01-26,0,-17,0,0
1895-01-27,10,-22,0,0
1895-01-28,8,2,0,0
1895-01-29,6,-21,0,0
1895-01-30,3,-16,20,2
1895-01-31,13,-9,0,0
1895-02-01,3,-29,0,0
1895-02-02,8,-16,5,0
1895-02-03,9,-18,0,0
1895-02-04,-1,-21,0,0
1895-02-05,-1,-30,0,0
1895-02-06,6,-18,50,0
1895-02-07,-4,-17,0,0
1895-02-08,0,-22,0,0
1895-02-09,12,-23,0,0
1895-02-10,6,-18,0,0
1895-02-11,8,-19,0,0
1895-02-12,18,-7,0,0
1895-02-13,22,10,0,0
1895-02-14,20,5,0,0
1895-02-15,32,-8,0,0
1895-02-16,29,-10,0,0
1895-02-17,29,25,0,0
1895-02-18,24,8,0,0
1895-02-19,27,-1,0,0
1895-02-20,42,19,0,0
1895-02-21,23,15,0,0
1895-02-22,35,0,0,0
1895-02-23,34,0,0,0
1895-02-24,49,27,0,0
1895-02-25,46,28,0,0
1895-02-26,50,25,0,0
1895-02-27,45,33,0,0
1895-02-28,55,37,0,0
1895-03-01,31,21,0,0
1895-03-02,47,18,0,0
1895-03-03,21,17,0,0
1895-03-04,22,7,0,0
1895-03-05,28,18,0,0
1895-03-06,39,6,10,1
1895-03-07,45,5,0,0
1895-03-08,31,11,0,0
1895-03-09,49,17,0,0
1895-03-10,26,9,0,0
1895-03-11,39,9,0,0
1895-03-12,34,25,0,0
1895-03-13,16,2,0,0
1895-03-14,18,-4,0,0
1895-03-15,23,9,0,0
1895-03-16,32,7,0,0
1895-03-17,46,10,0,0
1895-03-18,46,19,0,0
1895-03-19,44,21,0,0
1895-03-20,44,19,0,0
1895-03-21,48,20,0,0
1895-03-22,54,29,0,0
1895-03-23,53,38,0,0
1895-03-24,60,33,0,0
1895-03-25,58,24,0,0
1895-03-26,60,32,0,0
1895-03-27,68,32,0,0
1895-03-28,52,31,0,0
1895-03-29,84,36,0,0
1895-03-30,52,31,0,0
1895-03-31,36,31,45,1
1895-04-01,44,29,0,0
1895-04-02,46,26,0,0
1895-04-03,53,23,0,0
1895-04-04,67,31,0,0
1895-04-05,72,36,0,0
1895-04-06,61,52,0,0
1895-04-07,53,39,0,0
1895-04-08,59,42,36,0
1895-04-09,67,32,0,0
1895-04-10,58,33,0,0
1895-04-11,65,34,3,0
1895-04-12,62,44,14,0
1895-04-13,57,37,0,0
1895-04-14,64,27,0,0
1895-04-15,58,38,0,0
1895-04-16,62,35,0,0
1895-04-17,64,32,0,0
1895-04-18,66,30,0,0
1895-04-19,68,31,0,0
1895-04-20,74,37,0,0
1895-04-21,59,48,0,0
1895-04-22,65,32,0,0
1895-04-23,71,34,0,0
1895-04-24,80,49,0,0
1895-04-25,79,45,0,0
1895-04-26,66,47,0,0
1895-04-27,79,39,0,0
1895-04-28,80,47,0,0
1895-04-29,78,54,0,0
1895-04-30,88,65,63,0
1895-05-01,87,62,0,0
1895-05-02,82,54,49,0
1895-05-03,63,58,12,0
1895-05-04,79,55,0,0
1895-05-05,81,61,0,0
1895-05-06,74,60,59,0
1895-05-07,73,54,0,0
1895-05-08,78,53,0,0
1895-05-09,85,54,0,0
1895-05-10,90,61,0,0
1895-05-11,78,45,18,0
1895-05-12,54,39,28,0
1895-05-13,62,29,0,0
1895-05-14,52,38,0,0
1895-05-15,55,27,4,0
1895-05-16,54,40,0,0
1895-05-17,61,34,4,0
1895-05-18,65,44,67,0
1895-05-19,61,43,0,0
1895-05-20,58,32,22,0
1895-05-21,57,34,0,0
1895-05-22,64,32,0,0
1895-05-23,74,34,0,0
1895-05-24,82,47,0,0
1895-05-25,74,57,0,0
1895-05-26,68,40,0,0
1895-05-27,72,35,0,0
1895-05-28,91,61,0,0
1895-05-29,92,72,0,0
1895-05-30,79,69,179,0
1895-05-31,84,62,0,0
1895-06-01,93,67,0,0
1895-06-02,89,68,79,0
1895-06-03,88,56,0,0
1895-06-04,75,56,5,0
1895-06-05,70,52,2,0
1895-06-06,84,45,0,0
1895-06-07,85,60,0,0
1895-06-08,89,57,0,0
1895-06-09,89,61,30,0
1895-06-10,76,65,66,0
1895-06-11,80,69,16,0
1895-06-12,81,55,0,0
1895-06-13,71,56,0,0
1895-06-14,79,51,4,0
1895-06-15,84,55,0,0
1895-06-16,87,59,0,0
1895-06-17,84,66,34,0
1895-06-18,76,59,4,0
1895-06-19,78,49,0,0
1895-06-20,81,51,0,0
1895-06-21,78,54,29,0
1895-06-22,79,52,0,0
1895-06-23,80,53,15,0
1895-06-24,84,54,0,0
1895-06-25,81,65,14,0
1895-06-26,73,47,0,0
1895-06-27,82,46,6,0
1895-06-28,69,41,0,0
1895-06-29,78,40,0,0
1895-06-30,82,48,0,0
1895-07-01,92,54,0,0
1895-07-02,80,52,0,0
1895-07-03,86,49,0,0
1895-07-04,83,59,0,0
1895-07-05,94,65,0,0
1895-07-06,93,65,0,0
1895-07-07,92,57,0,0
1895-07-08,81,56,0,0
1895-07-09,75,42,0,0
1895-07-10,76,44,0,0
1895-07-11,78,46,0,0
1895-07-12,75,43,0,0
1895-07-13,93,55,0,0
1895-07-14,92,66,14,0
1895-07-15,90,67,0,0
1895-07-16,88,54,0,0
1895-07-17,89,58,0,0
1895-07-18,94,50,0,0
1895-07-19,91,54,46,0
1895-07-20,86,55,0,0
1895-07-21,78,63,0,0
1895-07-22,77,54,0,0
1895-07-23,82,52,0,0
1895-07-24,83,61,0,0
1895-07-25,84,50,0,0
1895-07-26,80,60,31,0
1895-07-27,81,58,0,0
1895-07-28,85,54,0,0
1895-07-29,82,66,16,0
1895-07-30,75,51,0,0
1895-07-31,80,42,0,0
1895-08-01,84,45,0,0
1895-08-02,88,62,0,0
1895-08-03,82,56,0,0
1895-08-04,91,51,0,0
1895-08-05,86,64,0,0
1895-08-06,82,60,0,0
1895-08-07,88,52,0,0
1895-08-08,89,63,54,0
1895-08-09,95,62,0,0
1895-08-10,84,61,0,0
1895-08-11,87,63,0,0
1895-08-12,85,50,0,0
1895-08-13,87,56,0,0
1895-08-14,88,69,0,0
1895-08-15,88,51,0,0
1895-08-16,95,59,0,0
1895-08-17,84,62,8,0
1895-08-18,72,47,0,0
1895-08-19,77,43,0,0
1895-08-20,83,41,0,0
1895-08-21,87,46,0,0
1895-08-22,90,67,71,0
1895-08-23,86,66,0,0
1895-08-24,82,60,0,0
1895-08-25,87,64,0,0
1895-08-26,83,62,0,0
1895-08-27,90,66,0,0
1895-08-28,73,65,44,0
1895-08-29,80,51,0,0
1895-08-30,82,50,0,0
1895-08-31,74,50,0,0
1895-09-01,76,36,0,0
1895-09-02,82,55,0,0
1895-09-03,94,70,0,0
1895-09-04,89,55,0,0
1895-09-05,92,61,0,0
1895-09-06,90,67,13,0
1895-09-07,75,45,0,0
1895-09-08,77,52,0,0
1895-09-09,80,59,0,0
1895-09-10,96,72,0,0
1895-09-11,97,73,0,0
1895-09-12,82,68,27,0
1895-09-13,72,66,0,0
1895-09-14,70,52,111,0
1895-09-15,75,63,0,0
1895-09-16,70,60,0,0
1895-09-17,90,58,0,0
1895-09-18,89,62,0,0
1895-09-19,93,71,0,0
1895-09-20,92,68,75,0
1895-09-21,88,66,0,0
1895-09-22,85,60,94,0
1895-09-23,61,39,0,0
1895-09-24,70,46,0,0
1895-09-25,76,56,0,0
1895-09-26,56,44,0,0
1895-09-27,62,42,0,0
1895-09-28,58,43,0,0
1895-09-29,51,42,0,0
1895-09-30,55,30,0,0
1895-10-01,65,29,0,0
1895-10-02,73,39,0,0
1895-10-03,76,35,0,0
1895-10-04,58,44,0,0
1895-10-05,68,46,0,0
1895-10-06,60,45,0,0
1895-10-07,51,41,0,0
1895-10-08,45,30,0,0
1895-10-09,52,17,0,0
1895-10-10,62,18,0,0
1895-10-11,54,42,0,0
1895-10-12,58,23,0,0
1895-10-13,52,20,0,0
1895-10-14,56,26,0,0
1895-10-15,67,33,0,0
1895-10-16,60,43,0,0
1895-10-17,61,25,0,0
1895-10-18,66,46,0,0
1895-10-19,48,25,0,0
1895-10-20,43,22,0,0
1895-10-21,68,21,0,0
1895-10-22,50,32,0,0
1895-10-23,49,12,0,0
1895-10-24,65,31,0,0
1895-10-25,60,28,0,0
1895-10-26,70,40,0,0
1895-10-27,59,29,0,0
1895-10-28,35,21,0,0
1895-10-29,33,19,0,0
1895-10-30,41,6,0,0
1895-10-31,40,19,0,0
1895-11-01,42,8,0,0
1895-11-02,66,34,0,0
1895-11-03,68,48,0,0
1895-11-04,70,54,0,0
1895-11-05,73,53,0,0
1895-11-06,55,33,0,0
1895-11-07,40,29,45,1
1895-11-08,42,28,0,0
1895-11-09,35,22,0,0
1895-11-10,40,14,0,0
1895-11-11,49,20,0,0
1895-11-12,55,31,0,0
1895-11-13,44,32,20,0
1895-11-14,47,31,0,0
1895-11-15,45,23,0,0
1895-11-16,49,33,10,0
1895-11-17,50,38,0,0
1895-11-18,50,28,25,0
1895-11-19,40,18,17,0
1895-11-20,27,10,0,0
1895-11-21,25,7,0,0
1895-11-22,24,12,0,0
1895-11-23,25,15,0,0
1895-11-24,26,4,0,0
1895-11-25,27,14,19,2
1895-11-26,21,-3,0,0
1895-11-27,38,18,0,0
1895-11-28,40,32,0,0
1895-11-29,37,27,0,0
1895-11-30,32,26,0,0
1895-12-01,33,15,0,0
1895-12-02,16,4,0,0
1895-12-03,15,-3,10,2
1895-12-04,18,4,0,0
1895-12-05,21,7,0,0
1895-12-06,28,10,0,0
1895-12-07,31,15,0,0
1895-12-08,24,7,0,0
1895-12-09,24,6,0,0
1895-12-10,35,21,0,0
1895-12-11,37,27,0,0
1895-12-12,33,27,0,0
1895-12-13,35,25,0,0
1895-12-14,38,12,0,0
1895-12-15,40,15,0,0
1895-12-16,37,27,0,0
1895-12-17,51,25,50,0
1895-12-18,49,30,0,0
1895-12-19,36,24,0,0
1895-12-20,34,30,70,1
1895-12-21,36,31,0,0
1895-12-22,34,26,0,0
1895-12-23,41,27,0,0
1895-12-24,34,16,60,1
1895-12-25,33,10,0,0
1895-12-26,24,-2,0,0
1895-12-27,22,18,0,0
1895-12-28,37,21,0,0
1895-12-29,34,9,0,0
1895-12-30,18,-13,0,0
1895-12-31,11,-10,0,0
1896-01-01,29,-5,0,0
1896-01-02,21,9,0,0
1896-01-03,-9,-17,0,0
1896-01-04,-1,-18,0,0
1896-01-05,6,-16,5,1
1896-01-06,25,3,0,0
1896-01-07,21,7,0,0
1896-01-08,35,15,0,0
1896-01-09,36,19,0,0
1896-01-10,38,22,0,0
1896-01-11,42,28,0,0
1896-01-12,17,4,0,0
1896-01-13,12,3,0,0
1896-01-14,22,-6,0,0
1896-01-15,30,13,0,0
1896-01-16,29,7,0,0
1896-01-17,31,9,0,0
1896-01-18,27,7,0,0
1896-01-19,33,10,0,0
1896-01-20,30,24,0,0
1896-01-21,35,4,0,0
1896-01-22,30,19,0,0
1896-01-23,31,18,0,0
1896-01-24,33,20,60,2
1896-01-25,30,22,0,0
1896-01-26,21,-8,0,0
1896-01-27,26,12,0,0
1896-01-28,34,5,0,0
1896-01-29,42,25,0,0
1896-01-30,43,35,0,0
1896-01-31,40,31,0,0
1896-03-01,31,19,0,0
1896-03-02,30,12,0,0
1896-03-03,32,21,0,0
1896-03-04,34,19,0,0
1896-03-05,33,24,0,0
1896-03-06,35,25,0,0
1896-03-07,30,24,0,0
1896-03-08,34,7,0,0
1896-03-09,40,25,0,0
1896-03-10,38,22,25,1
1896-03-11,24,7,0,0
1896-03-12,13,-7,0,0
1896-03-13,19,-6,0,0
1896-03-14,26,-8,0,0
1896-03-15,35,12,0,0
1896-03-16,34,16,0,0
1896-03-17,39,15,0,0
1896-03-18,38,20,0,0
1896-03-19,32,20,0,0
1896-03-20,35,11,0,0
1896-03-21,55,31,0,0
1896-03-22,34,11,0,0
1896-03-23,38,14,0,0
1896-03-24,51,21,0,0
1896-03-25,57,40,0,0
1896-03-26,55,27,0,0
1896-03-27,43,25,37,1
1896-03-28,55,38,0,0
1896-03-29,48,44,0,0
1896-03-30,62,28,0,0
1896-03-31,58,38,0,0
1896-04-01,53,20,55,0
1896-04-02,32,15,0,0
1896-04-03,42,13,0,0
1896-04-04,51,19,0,0
1896-04-05,55,25,0,0
1896-04-06,48,23,0,0
